food,calories,proteins,carbs,fats,category
Apple,52,0,13,0,0
Banana,89,1,23,0,0
Blueberries,57,0,14,0,0
Broccoli,34,2,7,0,0
Brown rice,356,7,72,3,1
Brussels,36,3,7,0,0
Cherry tomato,18,0,4,0,0
Dates,338,2,82,0,0
Fettuccine,366,12.5,72,2,0
Green beans,31,1,7,0,0
Mixed berries,60,1,11,1,0
Mixed Veggies,27,1,3,0,0
Oatmeal,379,13,55,9,1
Pineapple,48,0,12,0,0
Potato,69,2,16,0,0
Rice,358,8,77,1,1
Spinach,23,2,3,0,0
Weet-bix,379,8,73,4,1
White rice,130,2,29,0,1
Whole wheat,233,10,40,2,1
Corn,93,3,17,0,0